Code,Year,Month,Day,To,From
AEF.AX,2018,12,13,100,1
ABA.AX,2008,12,1,1.005,1
ABP.AX,2015,3,18,1.004,1
ABP.AX,2010,11,16,1,5
ABP.AX,2009,3,3,1.02,1
AGL.AX,2014,8,25,1.044,1
AGL.AX,2012,5,29,1.033,1
ALQ.AX,2015,11,30,1.062,1
ALQ.AX,2013,7,19,1.015,1
ALQ.AX,2012,8,2,5,1
ALQ.AX,2009,10,6,1.042,1
ALQ.AX,2005,11,25,1.027,1
AMC.AX,2009,8,20,1.069,1
AMC.AX,2002,5,10,1.005,1
AMP.AX,2003,10,22,1.013,1
ANZ.AX,2003,10,29,1.046,1
AOF.AX,2017,10,11,1.002,1
APA.AX,2018,2,26,1.004,1
APA.AX,2014,12,15,1.039,1
APA.AX,2006,11,20,1.038,1
APE.AX,2012,5,18,5,1
APE.AX,2006,8,29,1.006,1
ARB.AX,2002,10,18,5,1
ARQ.AX,2017,5,3,1.003,1
AST.AX,2012,5,18,1.014,1
AST.AX,2009,5,14,1.027,1
ASX.AX,2013,6,14,1.016,1
AUB.AX,2018,11,14,1.013,1
AVN.AX,2017,5,31,1.015,1
AVN.AX,2016,5,3,1.008,1
BEN.AX,2009,8,12,1.012,1
BEN.AX,1997,9,25,1.026,1
BFG.AX,2018,6,5,1.029,1
BKW.AX,2000,12,19,10,1
BOQ.AX,2014,4,16,1.016,1
BOQ.AX,2012,3,28,1.031,1
BOQ.AX,2009,8,21,1.012,1
BOQ.AX,2003,8,21,1.019,1
CBA.AX,2015,8,17,1.005,1
CGF.AX,2004,11,26,1,5
CHC.AX,2010,11,12,1,4
CHC.AX,2010,2,15,1.041,1
CHC.AX,2009,5,28,1.027,1
CIP.AX,2018,12,5,1.002,1
CIP.AX,2014,7,18,1.004,1
CIP.AX,2013,7,2,1,4
CIP.AX,2013,4,3,1.04,1
CKF.AX,2017,6,27,1.01,1
CMW.AX,2018,11,30,1.007,1
CMW.AX,2011,11,24,1,1
CMW.AX,2010,7,16,1,1
CQR.AX,2010,9,1,1,5
CQR.AX,2005,2,18,1.047,1
CSR.AX,2011,2,18,1,3
CSR.AX,2009,10,28,1.023,1
CSR.AX,2008,11,19,1.046,1
DTL.AX,2011,11,10,10,1
EHE.AX,2016,12,13,1.057,1
EQT.AX,2014,4,14,1.118,1
EVT.AX,2009,11,6,1.059,1
EZL.AX,2008,10,9,2,1
FBU.AX,2018,4,20,1.045,1
FLT.AX,2020,4,7,1.111,1
FLT.AX,2003,3,12,1.001,1
FLT.AX,2001,5,11,1.003,1
FMG.AX,2007,12,19,10,1
FMG.AX,2002,7,2,1.019,1
FXL.AX,2015,10,29,1.026,1
FXL.AX,2010,2,25,1.009,1
GDF.AX,2017,11,16,1.004,1
GEM.AX,2020,4,14,1.088,1
GMA.AX,2016,5,24,1,1.17
GOW.AX,2015,10,13,1.1,1
GOW.AX,2009,11,18,1.023,1
GOZ.AX,2018,11,21,1.002,1
GOZ.AX,2014,6,5,1.005,1
GOZ.AX,2013,11,1,1.006,1
GOZ.AX,2011,12,22,1.008,1
GOZ.AX,2011,6,23,1.007,1
GOZ.AX,2010,8,19,1,1
GOZ.AX,2009,8,21,1,1
GOZ.AX,2009,8,7,1,10
GWA.AX,2015,6,3,1,1.1
HVN.AX,2019,9,9,1.022,1
HVN.AX,2018,9,11,1.016,1
HVN.AX,2014,11,28,1.014,1
HVN.AX,2001,11,16,1.008,1
HVN.AX,1999,9,1,5,1
IDX.AX,2019,8,27,1.018,1
IGL.AX,2017,8,30,1.01,1
IGL.AX,2016,12,7,1.003,1
IPL.AX,2008,11,14,1.107,1
IPL.AX,2008,9,17,20,1
IRE.AX,2013,8,9,1.025,1
JBH.AX,2016,9,16,1.012,1
JIN.AX,2007,11,26,1,10
KSC.AX,2010,11,26,1.02,1
KSC.AX,2005,6,21,1.005,1
KSC.AX,2003,11,19,2,1
LEP.AX,2009,8,10,1.165,1
MGR.AX,2009,6,9,1.097,1
MGR.AX,2008,11,6,1.026,1
MHJ.AX,2007,11,20,10,1
MND.AX,2005,6,1,4,1
MNY.AX,2015,11,24,1.002,1
MNY.AX,2011,2,24,1.07,1
MQG.AX,2013,12,16,1,1.06
MVF.AX,2020,4,28,1.071,1
NAB.AX,2015,5,12,1.014,1
NSR.AX,2018,8,24,1.008,1
NSR.AX,2016,6,30,1.026,1
OML.AX,2020,3,27,1.226,1
OML.AX,2018,6,27,1.044,1
PDL.AX,2011,8,19,1,1
QBE.AX,2001,10,18,1.013,1
QUB.AX,2016,3,17,1.016,1
QUB.AX,2010,6,9,1.009,1
QUB.AX,2009,11,20,1.038,1
RIC.AX,2000,3,20,1.017,1
SGP.AX,2009,5,15,1.059,1
SGR.AX,2012,6,18,1.046,1
SKI.AX,2015,11,27,1.011,1
SKI.AX,2010,9,24,1.029,1
SLK.AX,2019,10,9,1.021,1
SLK.AX,2019,10,9,1.021,1
SNL.AX,2015,5,4,1.112,1
SOL.AX,2002,6,27,10,1
SRV.AX,2009,10,13,1.003,1
STO.AX,2015,11,12,1.148,1
STO.AX,2009,5,13,1.083,1
SUL.AX,2011,10,20,1.061,1
SUN.AX,2009,2,9,1.06,1
SUN.AX,2007,3,16,1.033,1
SUN.AX,1998,11,23,1.178,1
SWM.AX,2015,4,30,1.036,1
SWM.AX,2012,7,19,1.066,1
SXL.AX,2020,4,7,1.407,1
SXL.AX,2011,4,11,1.081,1
SXL.AX,2009,10,30,1.235,1
TAH.AX,2015,2,10,1.01,1
TAH.AX,2010,10,21,1.012,1
TCL.AX,2018,9,5,1.016,1
TCL.AX,2017,12,15,1.005,1
TCL.AX,2015,11,27,1.004,1
TCL.AX,2014,5,1,1.014,1
TCL.AX,2010,5,13,1.005,1
TNE.AX,2000,11,6,3,1
TPM.AX,2017,4,18,1.018,1
TPM.AX,2004,6,18,1.075,1
UOS.AX,2007,10,3,10,1
WBC.AX,2015,10,19,1.007,1
WEB.AX,2020,4,2,1.377,1
WEB.AX,2018,11,7,1.011,1
WEB.AX,2017,8,4,1.014,1
WEB.AX,2016,6,8,1.016,1
WEB.AX,2007,6,8,1,4
WES.AX,2014,11,26,1,1.02
WES.AX,2013,11,11,1,1.01
WES.AX,2009,1,27,1.053,1
WES.AX,2008,4,30,1.024,1
WOR.AX,2018,10,24,1.055,1
WOR.AX,2017,10,11,1.008,1
WOR.AX,2007,2,14,1.007,1
WPP.AX,2009,4,24,1.111,1
